"title","title_en","authors","source","path"
"التحليل المبني على نظم المعلومات الجغرافية للتغيرات السكانية في محافظة عمان (2010-2015)","the GIS-Based Analysis of Population Changes in Amman Governorate  (2010–2015)","[""Eman  B. F. Al-Zbon"", ""Professor Dr. Yusra Al-Hasban""]","AM_Art","pdf/Art/Art_1.pdf"
"مكانة القاضي الجماعي في الأندلس: النشأة والتطور والواجبات القضائية في العصر الأموي *","The Position of Group Judge in Al-Andalus: The Establishment, Development and the Judicial Duties in the Umayyad Era *","[""Abdullah A. K. Dandan"", ""Yousef Bani Yassin""]","AM_Art","pdf/Art/Art_4.pdf"
"فاعلية برنامج علاجي قائم على النظم الأسرية الداخلية في تحسين التنظيم الانفعالي لدى طلاب الجامعة","The Effectiveness of a Treatment Program Based on Internal Family Systems to Improve Emotional Regulation among University Students","[""Liwaa Khalil Al-Dasouqi""]","AM_Edu","pdf/Edu/Edu_5.pdf"
"أثر الرضا الوظيفي على الالتزام التنظيمي لدى مديري المدارس الثانوية مع الإشارة بشكل خاص إلى المدارس الحكومية في محافظة إربد – الأردن","The The Impact Of Job Satisfaction On Organizational Commitment Among Secondary School Principals With Special Reference To Public Schools In The Irbid Governorate –Jordan","[""alaa harahsheh"", ""Ziyad  M. Al-Gonmeen""]","AM_Edu","pdf/Edu/Edu_6.pdf"
"أثر طرق التدريس لمعلمي التربية المهنية في اكتساب المهارات المهنية لدى الطلاب","The Impact of Teaching Methods of Vocational Education Teachers on Acquiring Vocational Skills Among Students","[""Zaid Daher Khalaf Hazaimeh""]","AM_Edu","pdf/Edu/Edu_7.pdf"
"درجة استخدام الذكاء الاصطناعي في اتخاذ القرار الإداري لدى القيادات الأكاديمية في جامعة آل البيت.","The Degree of Artificial Intelligence Utilization in Administrative Decision-making among Academic Leaders at Al al-Bayt University.","[""Lutfi Al-Masaeed"", ""Muhammad Al-Hawamdeh"", ""Muhammad Al-Harahsheh""]","AM_Edu","pdf/Edu/Edu_8.pdf"
"السمات القيادية والإدارية لمعلمي التربية الرياضية في مديرية التربية والتعليم للمنطقة الجامعية وعلاقتها بتعزيز مفهوم الرياضة المدرسية الحديثة من وجهة نظرهم","Leadership and Administrative Traits of Physical Education Teachers in the Directorate of Education for the University District and their Relationship in Reinforcing the Concept of Modern School Sports from their perspective","[""Yassin Ali Al-Maharmeh""]","AM_Edu","pdf/Edu/Edu_9.pdf"
"القدرة التنبؤية لتنظيم الانفعالات في جودة الحياة المهنية لدى أخصائيي الصحة النفسية في مخيمات اللاجئين المتضررة من الصراعات","Predictive Ability of Emotion Regulation in the Quality of Professional Life among Mental Health Professionals in Refugee Camps Conflict-Affected","[""Ahmed  Bani Khalid"", ""Omar  Al-Adamat"", ""Ibrahim  Bani Khalid""]","AM_Edu","pdf/Edu/Edu_10.pdf"
"فاعلية استراتيجية فيجوتسكي للتعلم التوليدي في بناء المفاهيم على مستوى التحصيل والاحتفاظ بالتعلم في مقرر استراتيجيات التدريس لطالبات السنة الرابعة تخصص تربية الطفل","The effectiveness of Vygotsky's generative learning strategy in building concepts at the level of achievement and retention of learning impact in the teaching strategies course for fourth-year female students majoring in child education","[""Raed Ahmad Al-Karimeen""]","AM_Edu","pdf/Edu/Edu_11.pdf"
"واقع تخطيط التعاقب القيادي في جامعة آل البيت من وجهة نظر أعضاء هيئة التدريس","The Status Que of Leadership Succession Planning at Al al-Bayt University from Faculty Members’ Points of View","[""Musalm Al-Shorofat"", ""Mahmoud  Al-Meqdadi"", ""Mohammed Al-Hawamdeh""]","AM_Edu","pdf/Edu/Edu_12.pdf"
"دور الجامعات الأردنية في تعزيز التربية الأخلاقية لدى طلبتها للتعامل مع العصر الرقمي","The Role of Jordanian Universities in Enhancing Ethical Education Among Their Students to Deal with the Digital Age","[""Faten M. Abu Salah"", ""Mohammad AlZboon""]","AM_Edu","pdf/Edu/Edu_13.pdf"
"الاتجاهات نحو BTEC لدى طلبة الصف العاشر وأولياء أمورهم في محافظة إربد","Attitudes Towards BTEC among Tenth Grade Students and Their Parents in Irbid District","[""sohaib alrefai""]","AM_Edu","pdf/Edu/Edu_14.pdf"
"درجة الكفاءة الذاتية الرقمية وعلاقتها بمهارات معالجة المعلومات لدى طلبة الجامعة الأردنية","The Degree of Digital Self-Efficacy and Its Relationship to Information Processing Skills Among University of Jordan Students","[""Israa A. Al-Adwan"", ""Ferial Abu Awwad""]","AM_Edu","pdf/Edu/Edu_15.pdf"
"أثر استخدام البرمجيات الإلكترونية في تحسين مهارات الاستماع لدى طلبة الصف الخامس الأساسي في محافظة الزرقاء","The Impact of the Use of Electronic Software on Improving  the Listening Skills of Fifth Grade Students in Zarqa Governorate","[""Shorouq H. Al-Amash"", ""Hamoud M. Al-Olimat"", ""Mamoun  Al-Zbon""]","AM_Edu","pdf/Edu/Edu_16.pdf"
"آليات الدفاع الأولية لدى طلبة الجامعة من ذوي الإعاقة: دراسة مقارنة","Primary Defense Mechanisms among University Students with Disabilities: A Comparative Study","[""alia Al-oweidi"", ""Randa A. Barakat""]","AM_Edu","pdf/Edu/Edu_17.pdf"
"أثر التدفقات النقدية التشغيلية والأرباح التشغيلية على التوزيعات النقدية: الذمم المدينة كمتغير معتدل في الشركات الصناعية المساهمة العامة الأردنية","The Impact of Operating Cash Flows and Operating Profits on Cash Dividends: Accounts Receivable as a Moderating Variable in Jordanian Public Shareholding Industrial Companies","[""Muhammad Ali Alhayek"", ""Dhaifallah Aleimat""]","AM_Bus","pdf/Bus/Bus_18.pdf"
"أثر القيادة التحويلية على جودة الحياة الوظيفية: دراسة ميدانية في شركات التأمين الأردنية","The Impact of Transfomational Leadership on the Qulaity of Work Life: A Field Study  in Jordanian Insurance Companies","[""Safa Al Olimat""]","AM_Bus","pdf/Bus/Bus_19.pdf"
